What is your dietary type?,What chronic illnesses do you have? ,What specific dietary restrictions do you follow?,Are there specific ingredients that trigger your condition(s) or cause discomfort? ,What are some healthy alternatives/ingredients you include in your diet?,What health goal do you have?
Vegetarian,None,low-fat,None,Canola oil,Weight maintenance
Vegetarian,Obesity,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,None,low-fat,None,Canola oil,Weight maintenance
Non-vegetarian,Obesity,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,None,low-fat,None,Canola oil,Weight maintenance
Non-vegetarian,Obesity,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,None,low-fat,None,Canola oil,Weight maintenance
Non-vegetarian,Obesity,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,None,low-fat,None,Canola oil,Weight maintenance
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Jain,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Jain,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Jain,None,low-fat,Fats,Canola oil,None
Jain,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Jain,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Jain,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Non-vegetarian,Obesity,low-fat,Fats,Canola oil,Weight maintenance
Vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Eggetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Eggetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Eggetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Eggetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Eggetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Eggetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Eggetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Eggetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Eggetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Eggetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Eggetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Eggetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Non-vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Non-vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Non-vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Non-vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Vegetarian,Diabetes,low-sugar,Sugar,Stevia,Blood sugar control
Vegetarian,None,protein-rich,Fats,Canola oil,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Jain,Lactose intolerance/food allergies,gluten-free,Wheat,Millets,Control symptoms of your chronic illness
Jain,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Jain,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Non-vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Obesity,low-sugar,Sugar,Stevia,Weight maintenance
Vegetarian,None,low-fat,Fats,Canola oil,None
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Eggetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Eggetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Eggetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Eggetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Eggetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Eggetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Eggetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Eggetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,None,protein-rich,Fats,Eggs,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,None,protein-rich,Fats,Chickpea,Bodybuilding
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
Non-vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Non-vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
Vegetarian,Lactose intolerance/food allergies,anti-inflammatory,Lactose,Almond milk,Control symptoms of your chronic illness
Vegetarian,Diabetes,low-sugar,Sugar ,Stevia  ,Blood sugar control
